frame,time_sec,L_x,L_y,L_w,L_h,R_x,R_y,R_w,R_h
0,0.0,-1,-1,-1,-1,-1,-1,-1,-1
1,0.031389289974260784,-1,-1,-1,-1,-1,-1,-1,-1
2,0.06277857994852157,-1,-1,-1,-1,-1,-1,-1,-1
3,0.09416786992278235,-1,-1,-1,-1,-1,-1,-1,-1
4,0.12555715989704314,-1,-1,-1,-1,-1,-1,-1,-1
5,0.1569464498713039,-1,-1,-1,-1,-1,-1,-1,-1
6,0.1883357398455647,-1,-1,-1,-1,841,658,1079,422
7,0.21972502981982547,198,258,636,671,659,477,1261,603
8,0.25111431979408627,198,258,636,671,659,477,1261,603
9,0.28250360976834704,214,240,724,683,991,473,929,603
10,0.3138928997426078,214,240,724,683,991,473,929,603
11,0.3452821897168686,467,0,359,636,804,651,1116,429
12,0.3766714796911294,467,0,359,636,232,231,1688,849
13,0.4080607696653902,468,53,483,428,232,231,1688,849
14,0.43945005963965095,333,368,631,555,232,231,1688,849
15,0.4708393496139117,333,368,631,555,232,231,1688,849
16,0.5022286395881725,333,368,631,555,232,231,1688,849
17,0.5336179295624333,333,368,631,555,232,231,1688,849
18,0.5650072195366941,511,141,372,499,232,231,1688,849
19,0.5963965095109548,511,141,372,499,232,231,1688,849
20,0.6277857994852156,511,141,372,499,232,231,1688,849
21,0.6591750894594764,306,435,671,485,232,231,1688,849
22,0.6905643794337372,306,435,671,485,232,231,1688,849
23,0.721953669407998,306,435,671,485,232,231,1688,849
24,0.7533429593822588,306,435,671,485,232,231,1688,849
25,0.7847322493565195,451,464,484,387,913,549,633,382
26,0.8161215393307804,277,432,733,489,913,549,633,382
27,0.8475108293050411,277,432,733,489,913,549,633,382
28,0.8789001192793019,277,432,733,489,913,549,633,382
29,0.9102894092535627,277,432,733,489,913,549,633,382
30,0.9416786992278234,221,366,609,528,1125,584,560,326
31,0.9730679892020843,221,366,609,528,1125,584,560,326
32,1.004457279176345,221,366,609,528,1125,584,560,326
33,1.0358465691506058,221,366,609,528,1125,584,560,326
34,1.0672358591248665,221,366,609,528,808,492,488,162
35,1.0986251490991275,221,366,609,528,808,492,488,162
36,1.1300144390733882,221,366,609,528,808,492,488,162
37,1.1614037290476489,221,366,609,528,808,492,488,162
38,1.1927930190219096,221,366,609,528,808,492,488,162
39,1.2241823089961705,221,366,609,528,808,492,488,162
40,1.2555715989704312,221,366,609,528,808,492,488,162
41,1.286960888944692,221,366,609,528,808,492,488,162
42,1.318350178918953,221,366,609,528,808,492,488,162
43,1.3497394688932136,221,366,609,528,808,492,488,162
44,1.3811287588674743,221,366,609,528,808,492,488,162
45,1.4125180488417353,221,366,609,528,808,492,488,162
46,1.443907338815996,221,366,609,528,808,492,488,162
47,1.4752966287902567,221,366,609,528,808,492,488,162
48,1.5066859187645176,221,366,609,528,808,492,488,162
49,1.5380752087387783,221,366,609,528,808,492,488,162
50,1.569464498713039,221,366,609,528,808,492,488,162
51,1.6008537886872998,221,366,609,528,808,492,488,162
52,1.6322430786615607,221,366,609,528,808,492,488,162
53,1.6636323686358214,221,366,609,528,808,492,488,162
54,1.6950216586100821,221,366,609,528,808,492,488,162
55,1.726410948584343,221,366,609,528,808,492,488,162
56,1.7578002385586038,221,366,609,528,808,492,488,162
57,1.7891895285328645,221,366,609,528,808,492,488,162
58,1.8205788185071254,221,366,609,528,808,492,488,162
59,1.8519681084813862,221,366,609,528,808,492,488,162
60,1.8833573984556469,221,366,609,528,808,492,488,162
61,1.9147466884299076,221,366,609,528,808,492,488,162
62,1.9461359784041685,221,366,609,528,808,492,488,162
63,1.9775252683784292,221,366,609,528,808,492,488,162
64,2.00891455835269,221,366,609,528,808,492,488,162
65,2.0403038483269507,221,366,609,528,808,492,488,162
66,2.0716931383012116,221,366,609,528,808,492,488,162
67,2.1030824282754725,221,366,609,528,808,492,488,162
68,2.134471718249733,221,366,609,528,808,492,488,162
69,2.165861008223994,221,366,609,528,808,492,488,162
70,2.197250298198255,221,366,609,528,808,492,488,162
71,2.2286395881725154,221,366,609,528,808,492,488,162
72,2.2600288781467763,221,366,609,528,808,492,488,162
73,2.2914181681210373,221,366,609,528,808,492,488,162
74,2.3228074580952978,221,366,609,528,808,492,488,162
75,2.3541967480695587,221,366,609,528,808,492,488,162
76,2.385586038043819,221,366,609,528,808,492,488,162
77,2.41697532801808,221,366,609,528,808,492,488,162
78,2.448364617992341,221,366,609,528,808,492,488,162
79,2.4797539079666016,221,366,609,528,808,492,488,162
80,2.5111431979408625,221,366,609,528,808,492,488,162
81,2.5425324879151234,221,366,609,528,808,492,488,162
82,2.573921777889384,221,366,609,528,808,492,488,162
83,2.605311067863645,221,366,609,528,808,492,488,162
84,2.636700357837906,221,366,609,528,808,492,488,162
85,2.6680896478121663,221,366,609,528,808,492,488,162
86,2.6994789377864272,221,366,609,528,808,492,488,162
87,2.730868227760688,221,366,609,528,808,492,488,162
88,2.7622575177349487,221,366,609,528,808,492,488,162
89,2.7936468077092096,221,366,609,528,808,492,488,162
90,2.8250360976834705,221,366,609,528,808,492,488,162
91,2.856425387657731,221,366,609,528,808,492,488,162
92,2.887814677631992,221,366,609,528,808,492,488,162
93,2.919203967606253,221,366,609,528,808,492,488,162
94,2.9505932575805134,221,366,609,528,808,492,488,162
95,2.9819825475547743,221,366,609,528,808,492,488,162
96,3.0133718375290353,221,366,609,528,808,492,488,162
97,3.0447611275032958,221,366,609,528,808,492,488,162
98,3.0761504174775567,221,366,609,528,808,492,488,162
99,3.107539707451817,221,366,609,528,808,492,488,162
100,3.138928997426078,221,366,609,528,808,492,488,162
101,3.170318287400339,221,366,609,528,808,492,488,162
102,3.2017075773745995,221,366,609,528,808,492,488,162
103,3.2330968673488605,221,366,609,528,1373,375,302,323
104,3.2644861573231214,221,366,609,528,1373,375,302,323
105,3.295875447297382,221,366,609,528,1338,385,338,302
106,3.327264737271643,221,366,609,528,1360,394,285,291
107,3.358654027245904,221,366,609,528,1126,389,397,289
108,3.3900433172201643,221,366,609,528,1126,389,397,289
109,3.421432607194425,369,371,290,319,1126,372,550,308
110,3.452821897168686,367,370,305,316,1126,372,550,308
111,3.4842111871429466,380,387,309,287,1167,352,435,321
112,3.5156004771172076,405,343,301,330,1167,352,435,321
113,3.5469897670914685,438,378,285,403,1167,352,435,321
114,3.578379057065729,438,378,285,403,1167,352,435,321
115,3.60976834703999,470,340,497,332,1070,340,462,445
116,3.641157637014251,491,336,300,330,1070,340,462,445
117,3.6725469269885114,505,336,318,329,1154,345,293,326
118,3.7039362169627723,533,378,325,287,1154,345,293,326
119,3.735325506937033,533,378,325,287,1154,345,293,326
120,3.7667147969112937,565,328,398,372,1139,349,523,431
121,3.7981040868855547,594,314,646,350,1194,338,385,322
122,3.829493376859815,600,315,1019,369,1194,338,385,322
123,3.860882666834076,618,315,1033,410,1194,338,385,322
124,3.892271956808337,618,315,1033,410,1194,338,385,322
125,3.9236612467825975,634,337,510,451,1185,310,495,341
126,3.9550505367568585,720,389,437,259,1226,293,311,367
127,3.9864398267311194,720,389,437,259,1226,293,311,367
128,4.01782911670538,720,389,437,259,1226,293,311,367
129,4.049218406679641,720,389,437,259,1226,293,311,367
130,4.080607696653901,0,223,569,99,1268,218,399,451
131,4.111996986628163,64,223,376,97,1200,320,432,408
132,4.143386276602423,64,223,376,97,1200,320,432,408
133,4.174775566576684,0,218,515,101,1152,311,483,478
134,4.206164856550945,0,218,515,101,1152,311,483,478
135,4.237554146525206,0,218,515,101,1149,399,377,263
136,4.268943436499466,0,214,379,102,751,294,854,395
137,4.300332726473727,0,214,379,102,986,294,580,377
138,4.331722016447988,856,384,283,290,1129,294,414,367
139,4.363111306422248,856,384,283,290,1129,294,414,367
140,4.39450059639651,856,384,283,290,1045,298,471,375
141,4.42588988637077,856,384,283,290,1043,302,465,444
142,4.457279176345031,856,384,283,290,1070,315,403,360
143,4.488668466319292,856,384,283,290,1070,315,403,360
144,4.520057756293553,856,384,283,290,1070,315,403,360
145,4.551447046267813,814,379,252,397,1070,315,403,360
146,4.5828363362420745,772,348,355,330,1070,315,403,360
147,4.614225626216335,772,348,355,330,1070,315,403,360
148,4.6456149161905955,766,333,600,370,1070,315,403,360
149,4.677004206164857,766,333,600,370,1070,315,403,360
150,4.708393496139117,743,313,313,359,1048,320,476,343
151,4.739782786113378,743,313,313,359,728,288,855,395
152,4.771172076087638,743,313,313,359,728,288,855,395
153,4.8025613660619,743,313,313,359,691,246,924,423
154,4.83395065603616,743,313,313,359,691,246,924,423
155,4.865339946010421,672,320,488,351,1129,245,359,421
156,4.896729235984682,634,317,481,355,1140,246,452,493
157,4.928118525958943,686,321,360,332,1140,246,452,493
158,4.959507815933203,619,294,380,380,1140,246,452,493
159,4.9908971059074645,619,294,380,380,1140,246,452,493
160,5.022286395881725,636,292,315,377,1206,312,400,354
161,5.0536756858559855,636,292,315,377,1197,301,401,366
162,5.085064975830247,636,292,315,377,1197,301,401,366
163,5.116454265804507,536,336,446,491,1134,275,461,538
164,5.147843555778768,536,336,446,491,1134,275,461,538
165,5.179232845753029,539,383,316,313,1171,271,413,409
166,5.21062213572729,539,383,316,313,1149,271,367,478
167,5.24201142570155,539,383,316,313,1149,271,367,478
168,5.273400715675812,546,398,414,368,1078,273,388,540
169,5.304790005650072,546,398,414,368,1078,273,388,540
170,5.336179295624333,501,400,378,368,960,269,473,487
171,5.367568585598594,484,392,409,409,914,260,502,415
172,5.3989578755728544,484,392,409,409,914,260,502,415
173,5.430347165547115,442,378,443,443,802,248,637,553
174,5.461736455521376,442,378,443,443,802,248,637,553
175,5.493125745495637,401,368,396,327,793,248,623,446
176,5.524515035469897,408,368,327,269,788,263,577,432
177,5.555904325444159,408,368,327,269,785,289,349,380
178,5.587293615418419,408,368,327,269,785,289,349,380
179,5.61868290539268,408,368,327,269,785,289,349,380
180,5.650072195366941,311,360,496,467,806,292,461,457
181,5.6814614853412015,312,359,503,265,816,283,442,452
182,5.712850775315462,315,365,319,309,838,362,461,371
183,5.744240065289723,315,365,319,309,838,362,461,371
184,5.775629355263984,337,336,477,492,850,239,591,576
185,5.807018645238244,337,336,477,492,850,239,591,576
186,5.838407935212506,391,324,352,505,881,239,494,505
187,5.869797225186766,391,324,352,505,881,239,494,505
188,5.901186515161027,1312,868,608,124,938,250,439,489
189,5.932575805135288,1312,868,608,124,938,250,439,489
190,5.963965095109549,1312,868,608,124,973,246,492,568
191,5.995354385083809,364,339,437,283,1052,254,362,458
192,6.0267436750580705,364,339,437,283,1052,254,362,458
193,6.058132965032331,364,339,437,283,1052,254,362,458
